ID,Season,Episode,Title,Directed by,Written by,Original air date,"US viewers
(millions)",rating,Jan,Andy,Angela,Darryl,Dwight,Erin,Jim,Kevin,Nellie,Creed,Robert,Michael,Karen,David,Gabe,Holly,Meredith,Stanley,Oscar,Toby,Pam,Kelly,Ryan,Phyllis
1_1,1,1,"""Pilot""",Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,3/24/2005,11.2,8.4,12,0,5,0,35,0,37,2,0,0,0,97,0,0,0,0,0,5,6,0,46,0,10,2
1_2,1,2,"""Diversity Day""",Ken Kwapis,B. J. Novak,3/29/2005,6,8.2,0,0,4,0,40,0,35,8,0,0,0,103,0,0,0,0,0,5,13,2,26,2,7,0
1_3,1,3,"""Health Care""",Ken Whittingham,Paul Lieberstein,4/5/2005,5.8,7.8,18,0,5,0,88,0,57,6,0,0,0,69,0,0,0,0,3,6,16,0,44,0,1,0
1_4,1,4,"""The Alliance""",Bryan Gordon,Michael Schur,4/12/2005,5.4,8.3,0,0,9,0,74,0,63,3,0,0,0,111,0,0,0,0,15,2,20,7,37,0,5,5
1_5,1,5,"""Basketball""",Greg Daniels,Greg Daniels,4/19/2005,5,7.6,0,0,6,17,45,0,27,4,0,0,0,134,0,0,0,0,0,6,2,0,17,0,8,4
1_6,1,6,"""Hot Girl""",Amy Heckerling,Mindy Kaling,4/26/2005,4.8,7.9,8,0,3,0,44,0,66,7,0,0,0,128,0,0,0,0,0,3,1,14,49,2,21,0
2_1,2,1,"""The Dundies""",Greg Daniels,Mindy Kaling,9/20/2005,9,8.7,9,0,4,1,74,0,42,4,0,0,0,138,0,0,0,0,0,8,4,6,48,9,2,23
2_2,2,2,"""Sexual Harassment""",Ken Kwapis,B. J. Novak,9/27/2005,7.13,8.2,11,0,4,9,12,0,22,9,0,0,0,112,0,0,0,0,1,1,1,26,41,0,1,6
2_3,2,3,"""Office Olympics""",Paul Feig,Michael Schur,10/4/2005,8.3,8.4,0,0,8,0,87,0,72,13,0,0,0,120,0,0,0,0,1,3,13,4,45,0,5,4
2_4,2,4,"""The Fire""",Ken Kwapis,B. J. Novak,10/11/2005,7.6,8.4,0,0,18,0,80,0,67,9,0,0,0,79,0,0,0,0,4,7,4,2,28,4,50,6
2_5,2,5,"""Halloween""",Paul Feig,Greg Daniels,10/18/2005,8,8.2,10,0,14,0,36,0,31,2,0,27,0,150,0,0,0,0,0,5,7,7,27,3,1,5
2_6,2,6,"""The Fight""",Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,11/1/2005,7.9,8.2,0,0,6,0,77,0,54,4,0,0,0,102,0,0,0,0,1,9,2,5,27,4,18,0
2_7,2,7,"""The Client""",Greg Daniels,Paul Lieberstein,11/8/2005,7.5,8.6,55,0,1,0,24,0,52,2,0,0,0,86,0,0,0,0,0,1,5,1,40,1,8,6
2_8,2,8,"""Performance Review""",Paul Feig,Larry Wilmore,11/15/2005,8,8.2,66,0,5,0,67,0,48,4,0,1,0,147,0,0,0,0,0,5,5,1,35,2,14,1
2_9,2,9,"""Email Surveillance""",Paul Feig,Jennifer Celotta,11/22/2005,8.1,8.4,0,0,14,0,45,0,60,12,0,0,0,129,0,0,0,0,0,4,6,1,47,2,6,7
2_10,2,10,"""Christmas Party""",Charles McDougall,Michael Schur,12/6/2005,9.7,8.8,0,0,10,12,51,0,28,14,0,9,0,94,0,0,0,0,12,5,20,7,22,13,18,8
2_11,2,11,"""Booze Cruise""",Ken Kwapis,Greg Daniels,1/5/2006,8.7,8.6,17,0,2,5,28,0,32,0,0,6,0,116,0,0,0,0,3,10,4,3,22,7,6,8
2_12,2,12,"""The Injury""",Bryan Gordon,Mindy Kaling,1/12/2006,10.3,9,0,0,6,0,68,0,61,2,0,1,0,146,0,0,0,0,1,4,4,13,57,1,16,3
2_13,2,13,"""The Secret""",Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,1/19/2006,8.7,8.3,0,0,5,0,54,0,53,8,0,3,0,114,0,0,0,0,0,3,9,3,28,5,14,0
2_14,2,14,"""The Carpet""","Victor Nelli, Jr.",Paul Lieberstein,1/26/2006,8.6,7.9,0,0,4,5,47,0,36,8,0,9,0,126,0,0,0,0,0,8,5,8,28,13,13,2
2_15,2,15,"""Boys and Girls""",Dennie Gordon,B. J. Novak,2/2/2006,5.42,8.2,55,0,5,28,16,0,24,4,0,0,0,88,0,0,0,0,5,1,0,0,30,9,2,9
2_16,2,16,"""Valentine's Day""",Greg Daniels,Michael Schur,2/9/2006,8.95,8.3,16,0,4,0,29,0,25,8,0,3,0,53,0,12,0,0,3,0,5,0,30,13,4,5
2_17,2,17,"""Dwight's Speech""",Charles McDougall,Paul Lieberstein,3/2/2006,8.4,8.4,0,0,4,0,64,0,36,4,0,4,0,75,0,0,0,0,1,6,3,4,24,5,14,8
